Time (Unix),Time (yyyy-mm-dd hh:mm:ss),Value
1717613520,2024-06-05 18:52:00,0.083323909
1717613580,2024-06-05 18:53:00,0.098263494
1717613640,2024-06-05 18:54:00,0.112438229
1717613700,2024-06-05 18:55:00,0.115082957
1717613760,2024-06-05 18:56:00,0.113450387
1717613820,2024-06-05 18:57:00,0.114994666
1717613880,2024-06-05 18:58:00,0.115572153
1717613940,2024-06-05 18:59:00,0.108317795
1717614000,2024-06-05 19:00:00,0.101399791
1717614060,2024-06-05 19:01:00,0.08604922
1717614120,2024-06-05 19:02:00,0.071087385
1717614180,2024-06-05 19:03:00,0.050537944
1717614240,2024-06-05 19:04:00,0.03067114
1717614300,2024-06-05 19:05:00,0.012770126
1717614360,2024-06-05 19:06:00,0.000187052
1717614420,2024-06-05 19:07:00,-0.012864497
1717614480,2024-06-05 19:08:00,-0.012581073
1717614540,2024-06-05 19:09:00,-0.008219061
1717614600,2024-06-05 19:10:00,-0.002250886
1717614660,2024-06-05 19:11:00,0.002394845
1717614720,2024-06-05 19:12:00,0.00240965
1717614780,2024-06-05 19:13:00,-0.003461481
1717614840,2024-06-05 19:14:00,-0.004958675
1717614900,2024-06-05 19:15:00,-0.002884299
1717614960,2024-06-05 19:16:00,-0.012394296
1717615020,2024-06-05 19:17:00,-0.0157153
1717615080,2024-06-05 19:18:00,-0.026913062
1717615140,2024-06-05 19:19:00,-0.039368141
1717615200,2024-06-05 19:20:00,-0.05600083
1717615260,2024-06-05 19:21:00,-0.06426176
1717615320,2024-06-05 19:22:00,-0.069203949
1717615380,2024-06-05 19:23:00,-0.073085107
1717615440,2024-06-05 19:24:00,-0.076888463
1717615500,2024-06-05 19:25:00,-0.082182962
1717615560,2024-06-05 19:26:00,-0.083248646
1717615620,2024-06-05 19:27:00,-0.096448842
1717615680,2024-06-05 19:28:00,-0.104096302
1717615740,2024-06-05 19:29:00,-0.106364867
1717615800,2024-06-05 19:30:00,-0.098298758
1717615860,2024-06-05 19:31:00,-0.081286294
1717615920,2024-06-05 19:32:00,-0.075008309
1717615980,2024-06-05 19:33:00,-0.062063354
1717616040,2024-06-05 19:34:00,-0.052003764
1717616100,2024-06-05 19:35:00,-0.045125125
1717616160,2024-06-05 19:36:00,-0.035631888
1717616220,2024-06-05 19:37:00,-0.026591525
1717616280,2024-06-05 19:38:00,-0.016014698
1717616340,2024-06-05 19:39:00,-0.007721005
1717616400,2024-06-05 19:40:00,-0.007054197
1717616460,2024-06-05 19:41:00,-0.010727163
1717616520,2024-06-05 19:42:00,-0.016880887
1717616580,2024-06-05 19:43:00,-0.018909236
1717616640,2024-06-05 19:44:00,-0.028260116
1717616700,2024-06-05 19:45:00,-0.049623226
1717616760,2024-06-05 19:46:00,-0.062596339
1717616820,2024-06-05 19:47:00,-0.071257366
1717616880,2024-06-05 19:48:00,-0.069309653
1717616940,2024-06-05 19:49:00,-0.046596093
1717617000,2024-06-05 19:50:00,-0.036645628
1717617060,2024-06-05 19:51:00,-0.026038903
1717617120,2024-06-05 19:52:00,-0.010252564
1717617180,2024-06-05 19:53:00,0.014198301
1717617240,2024-06-05 19:54:00,0.023628485
1717617300,2024-06-05 19:55:00,0.039115626
1717617360,2024-06-05 19:56:00,0.045618479
1717617420,2024-06-05 19:57:00,0.048597996
1717617480,2024-06-05 19:58:00,0.049181972
1717617540,2024-06-05 19:59:00,0.043893839
1717680600,2024-06-06 13:30:00,0.056951925
1717680660,2024-06-06 13:31:00,0.182849263
1717680720,2024-06-06 13:32:00,0.288018412
1717680780,2024-06-06 13:33:00,0.33219346
1717680840,2024-06-06 13:34:00,0.347462305
1717680900,2024-06-06 13:35:00,0.367830064
1717680960,2024-06-06 13:36:00,0.346897338
1717681020,2024-06-06 13:37:00,0.331322156
1717681080,2024-06-06 13:38:00,0.269873541
1717681140,2024-06-06 13:39:00,0.189928632
1717681200,2024-06-06 13:40:00,0.108177736
1717681260,2024-06-06 13:41:00,0.023159481
1717681320,2024-06-06 13:42:00,-0.031349516
1717681380,2024-06-06 13:43:00,-0.056834918
1717681440,2024-06-06 13:44:00,-0.08304673
1717681500,2024-06-06 13:45:00,-0.113796762
1717681560,2024-06-06 13:46:00,-0.142183861
1717681620,2024-06-06 13:47:00,-0.153127784
1717681680,2024-06-06 13:48:00,-0.194761595
1717681740,2024-06-06 13:49:00,-0.255075702
1717681800,2024-06-06 13:50:00,-0.357330051
1717681860,2024-06-06 13:51:00,-0.427317019
1717681920,2024-06-06 13:52:00,-0.482066729
1717681980,2024-06-06 13:53:00,-0.541804346
1717682040,2024-06-06 13:54:00,-0.582113825
1717682100,2024-06-06 13:55:00,-0.595015965
1717682160,2024-06-06 13:56:00,-0.585181278
1717682220,2024-06-06 13:57:00,-0.557644913
1717682280,2024-06-06 13:58:00,-0.50991648
1717682340,2024-06-06 13:59:00,-0.459388318
1717682400,2024-06-06 14:00:00,-0.420548438
1717682460,2024-06-06 14:01:00,-0.419627752
1717682520,2024-06-06 14:02:00,-0.410933451
1717682580,2024-06-06 14:03:00,-0.391860327
1717682640,2024-06-06 14:04:00,-0.384824001
1717682700,2024-06-06 14:05:00,-0.355772475
1717682760,2024-06-06 14:06:00,-0.32261504
1717682820,2024-06-06 14:07:00,-0.308874998
1717682880,2024-06-06 14:08:00,-0.288607159
1717682940,2024-06-06 14:09:00,-0.286589824
1717683000,2024-06-06 14:10:00,-0.276956986
1717683060,2024-06-06 14:11:00,-0.265463942
1717683120,2024-06-06 14:12:00,-0.253426213
1717683180,2024-06-06 14:13:00,-0.250679545
1717683240,2024-06-06 14:14:00,-0.25715803
1717683300,2024-06-06 14:15:00,-0.224690085
1717683360,2024-06-06 14:16:00,-0.222609614
1717683420,2024-06-06 14:17:00,-0.219647312
1717683480,2024-06-06 14:18:00,-0.197265483
1717683540,2024-06-06 14:19:00,-0.173493217
1717683600,2024-06-06 14:20:00,-0.165654625
1717683660,2024-06-06 14:21:00,-0.17807106
1717683720,2024-06-06 14:22:00,-0.178885406
1717683780,2024-06-06 14:23:00,-0.169507638
1717683840,2024-06-06 14:24:00,-0.165014998
1717683900,2024-06-06 14:25:00,-0.155522302
1717683960,2024-06-06 14:26:00,-0.148011817
1717684020,2024-06-06 14:27:00,-0.110526259
1717684080,2024-06-06 14:28:00,-0.085729013
1717684140,2024-06-06 14:29:00,-0.0359599
1717684200,2024-06-06 14:30:00,-0.008523017
1717684260,2024-06-06 14:31:00,0.001902153
1717684320,2024-06-06 14:32:00,0.010846065
1717684380,2024-06-06 14:33:00,0.030317836
1717684440,2024-06-06 14:34:00,0.055311186
1717684500,2024-06-06 14:35:00,0.072730919
1717684560,2024-06-06 14:36:00,0.097116967
1717684620,2024-06-06 14:37:00,0.11591382
1717684680,2024-06-06 14:38:00,0.132821739
1717684740,2024-06-06 14:39:00,0.125904333
